n,tip,repetari,algoritm,status,rulari,timp_total_sec,timp_mediu_sec,timp_min_sec,timp_max_sec,memorie_auxiliara_estimata_bytes,memorie_totala_estimata_bytes
10,aleator,10000,Bubble Sort,OK,10000,0.005876,0.000001,0.000000,0.000013,0,40
10,aleator,10000,Selection Sort,OK,10000,0.005414,0.000001,0.000000,0.000006,0,40
10,aleator,10000,Insertion Sort,OK,10000,0.004776,0.000000,0.000000,0.000009,0,40
10,aleator,10000,Quick Sort,OK,10000,0.005494,0.000001,0.000000,0.000009,0,40
10,aleator,10000,Merge Sort,OK,10000,0.006355,0.000001,0.000000,0.000019,40,80
10,aleator,10000,Heap Sort,OK,10000,0.006144,0.000001,0.000000,0.000013,0,40
10,aleator,10000,Counting Sort,OK,10000,0.004661,0.000000,0.000000,0.000011,80,120
10,aleator,10000,Radix Sort,OK,10000,0.004687,0.000000,0.000000,0.000010,80,120
10,sortat,10000,Bubble Sort,OK,10000,0.002809,0.000000,0.000000,0.000012,0,40
10,sortat,10000,Selection Sort,OK,10000,0.002817,0.000000,0.000000,0.000005,0,40
10,sortat,10000,Insertion Sort,OK,10000,0.002631,0.000000,0.000000,0.000007,0,40
10,sortat,10000,Quick Sort,OK,10000,0.002831,0.000000,0.000000,0.000006,0,40
10,sortat,10000,Merge Sort,OK,10000,0.003552,0.000000,0.000000,0.000005,40,80
10,sortat,10000,Heap Sort,OK,10000,0.003533,0.000000,0.000000,0.000011,0,40
10,sortat,10000,Counting Sort,OK,10000,0.003195,0.000000,0.000000,0.000027,80,120
10,sortat,10000,Radix Sort,OK,10000,0.003173,0.000000,0.000000,0.000007,80,120
10,invers_sortat,10000,Bubble Sort,OK,10000,0.003322,0.000000,0.000000,0.000009,0,40
10,invers_sortat,10000,Selection Sort,OK,10000,0.002907,0.000000,0.000000,0.000008,0,40
10,invers_sortat,10000,Insertion Sort,OK,10000,0.002839,0.000000,0.000000,0.000007,0,40
10,invers_sortat,10000,Quick Sort,OK,10000,0.002775,0.000000,0.000000,0.000007,0,40
10,invers_sortat,10000,Merge Sort,OK,10000,0.003457,0.000000,0.000000,0.000006,40,80
10,invers_sortat,10000,Heap Sort,OK,10000,0.003147,0.000000,0.000000,0.000014,0,40
10,invers_sortat,10000,Counting Sort,OK,10000,0.002971,0.000000,0.000000,0.000012,80,120
10,invers_sortat,10000,Radix Sort,OK,10000,0.003071,0.000000,0.000000,0.000023,80,120
10,aproape_sortat,10000,Bubble Sort,OK,10000,0.003005,0.000000,0.000000,0.000012,0,40
10,aproape_sortat,10000,Selection Sort,OK,10000,0.002950,0.000000,0.000000,0.000006,0,40
10,aproape_sortat,10000,Insertion Sort,OK,10000,0.002714,0.000000,0.000000,0.000006,0,40
10,aproape_sortat,10000,Quick Sort,OK,10000,0.002834,0.000000,0.000000,0.000007,0,40
10,aproape_sortat,10000,Merge Sort,OK,10000,0.003847,0.000000,0.000000,0.000014,40,80
10,aproape_sortat,10000,Heap Sort,OK,10000,0.003622,0.000000,0.000000,0.000010,0,40
10,aproape_sortat,10000,Counting Sort,OK,10000,0.003216,0.000000,0.000000,0.000009,80,120
10,aproape_sortat,10000,Radix Sort,OK,10000,0.003281,0.000000,0.000000,0.000006,80,120
10,plat,10000,Bubble Sort,OK,10000,0.004415,0.000000,0.000000,0.000012,0,40
10,plat,10000,Selection Sort,OK,10000,0.004040,0.000000,0.000000,0.000008,0,40
10,plat,10000,Insertion Sort,OK,10000,0.003727,0.000000,0.000000,0.000006,0,40
10,plat,10000,Quick Sort,OK,10000,0.004148,0.000000,0.000000,0.000015,0,40
10,plat,10000,Merge Sort,OK,10000,0.004973,0.000000,0.000000,0.000011,40,80
10,plat,10000,Heap Sort,OK,10000,0.004691,0.000000,0.000000,0.000023,0,40
10,plat,10000,Counting Sort,OK,10000,0.003596,0.000000,0.000000,0.000012,60,100
10,plat,10000,Radix Sort,OK,10000,0.003663,0.000000,0.000000,0.000012,80,120
20,aleator,10000,Bubble Sort,OK,10000,0.009493,0.000001,0.000000,0.000013,0,80
20,aleator,10000,Selection Sort,OK,10000,0.006991,0.000001,0.000000,0.000010,0,80
20,aleator,10000,Insertion Sort,OK,10000,0.004866,0.000000,0.000000,0.000010,0,80
20,aleator,10000,Quick Sort,OK,10000,0.006764,0.000001,0.000000,0.000010,0,80
20,aleator,10000,Merge Sort,OK,10000,0.007246,0.000001,0.000000,0.000012,80,160
20,aleator,10000,Heap Sort,OK,10000,0.007466,0.000001,0.000000,0.000014,0,80
20,aleator,10000,Counting Sort,OK,10000,0.003574,0.000000,0.000000,0.000007,160,240
20,aleator,10000,Radix Sort,OK,10000,0.004499,0.000000,0.000000,0.000011,120,200
20,sortat,10000,Bubble Sort,OK,10000,0.003739,0.000000,0.000000,0.000008,0,80
